rownumber,respondentID,agency_code,activity_year,state,county,msa,census_tract,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group,loan_indicator
145856,24,1,2017,24,510,12580.0,2704.01,,N,N,L,9,Y
145857,24,1,2017,24,510,12580.0,2704.02,,N,N,L,9,Y
145858,24,1,2017,24,510,12580.0,2706.0,,N,N,L,9,Y
145859,24,1,2017,24,510,12580.0,2804.03,,N,N,L,9,Y
145860,24,1,2017,24,510,12580.0,302.0,,N,N,L,10,Y
145861,24,1,2017,24,510,12580.0,1201.0,,N,N,L,10,Y
145862,24,1,2017,24,510,12580.0,1307.0,,N,N,L,10,Y
145863,24,1,2017,24,510,12580.0,2609.0,,N,N,L,10,Y
145864,24,1,2017,24,510,12580.0,2705.01,,N,N,L,10,Y
145865,24,1,2017,24,510,12580.0,2708.04,,N,N,L,10,Y
145866,24,1,2017,24,510,12580.0,2711.01,,N,N,L,10,Y
145867,24,1,2017,24,510,12580.0,2719.0,,N,N,L,10,Y
145868,24,1,2017,24,510,12580.0,1102.0,,N,N,L,11,Y
145869,24,1,2017,24,510,12580.0,1202.01,,N,N,L,11,Y
145870,24,1,2017,24,510,12580.0,2404.0,,N,N,L,11,Y
145871,24,1,2017,24,510,12580.0,2702.0,,N,N,L,11,Y
145872,24,1,2017,24,510,12580.0,2720.03,,N,N,L,11,Y
145873,24,1,2017,24,510,12580.0,102.0,,N,N,L,12,Y
145874,24,1,2017,24,510,12580.0,105.0,,N,N,L,12,Y
145875,24,1,2017,24,510,12580.0,201.0,,N,N,L,12,Y
145876,24,1,2017,24,510,12580.0,101.0,,N,N,L,13,Y
145877,24,1,2017,24,510,12580.0,104.0,,N,N,L,13,Y
145878,24,1,2017,24,510,12580.0,203.0,,N,N,L,13,Y
145879,24,1,2017,24,510,12580.0,1401.0,,N,N,L,13,Y
145880,24,1,2017,24,510,12580.0,2201.0,,N,N,L,13,Y
145881,24,1,2017,24,510,12580.0,2302.0,,N,N,L,13,Y
145882,24,1,2017,24,510,12580.0,2303.0,,N,N,L,13,Y
145883,24,1,2017,24,510,12580.0,2401.0,,N,N,L,13,Y
145884,24,1,2017,24,510,12580.0,2402.0,,N,N,L,13,Y
145885,24,1,2017,24,510,12580.0,2403.0,,N,N,L,13,Y
145886,24,1,2017,24,510,12580.0,2611.0,,N,N,L,13,Y
145887,24,1,2017,24,510,12580.0,2712.0,,N,N,L,13,Y
145888,24,1,2017,24,510,12580.0,2713.0,,N,N,L,13,Y
145889,24,1,2017,24,510,12580.0,2714.0,,N,N,L,13,Y
145890,24,1,2017,24,510,12580.0,2715.01,,N,N,L,13,Y
145891,24,1,2017,24,510,12580.0,402.0,,N,N,L,14,Y
145892,24,1,2017,24,510,12580.0,1402.0,,N,N,L,14,Y
145893,24,1,2017,24,510,12580.0,1803.0,,N,N,L,14,Y
145894,24,1,2017,24,510,12580.0,2506.0,,N,N,L,14,Y
175306,209,1,2017,24,510,12580.0,2005.0,,N,N,L,3,Y
175307,209,1,2017,24,510,12580.0,2502.05,,N,N,L,6,Y
175308,209,1,2017,24,510,12580.0,2709.03,,N,N,L,6,Y
175309,209,1,2017,24,510,12580.0,2804.01,,N,N,L,8,Y
175310,209,1,2017,24,510,12580.0,2715.01,,N,N,L,13,Y
182641,249,1,2017,24,510,12580.0,808.0,1.0,N,N,L,2,N
182642,249,1,2017,24,510,12580.0,1801.0,1.0,N,N,L,2,N
182643,249,1,2017,24,510,12580.0,2502.04,1.0,N,N,L,2,N
182644,249,1,2017,24,510,12580.0,2805.0,1.0,N,N,L,2,N
182645,249,1,2017,24,510,12580.0,301.0,1.0,N,N,L,3,N
182646,249,1,2017,24,510,12580.0,702.0,1.0,N,N,L,3,N
182647,249,1,2017,24,510,12580.0,703.0,1.0,N,N,L,3,N
182648,249,1,2017,24,510,12580.0,804.0,1.0,N,N,L,3,N
182649,249,1,2017,24,510,12580.0,807.0,1.0,N,N,L,3,N
182650,249,1,2017,24,510,12580.0,1501.0,1.0,N,N,L,3,Y
182651,249,1,2017,24,510,12580.0,1702.0,1.0,N,N,L,3,N
182652,249,1,2017,24,510,12580.0,2003.0,1.0,N,N,L,3,N
182653,249,1,2017,24,510,12580.0,2005.0,1.0,N,N,L,3,N
182654,249,1,2017,24,510,12580.0,2603.03,1.0,N,N,L,3,N
182655,249,1,2017,24,510,12580.0,2606.04,1.0,N,N,L,3,N
