rownumber,activity_year,loan_type,action_taken_type,state,county,msa,census_tract,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest
5002,2017,4,6,24,510,12580.0,1608.01,N,L,5,0,0,0,0,0,0,0,0
5003,2017,4,6,24,510,12580.0,1703.0,N,L,5,0,0,0,0,0,0,0,0
5004,2017,4,6,24,510,12580.0,1902.0,N,L,5,0,0,0,0,0,0,0,0
5005,2017,4,6,24,510,12580.0,2002.0,N,L,5,1,56000,0,0,0,0,0,0
5006,2017,4,6,24,510,12580.0,2007.01,N,L,5,0,0,0,0,0,0,0,0
5007,2017,4,6,24,510,12580.0,2008.0,N,L,5,0,0,0,0,0,0,0,0
5008,2017,4,6,24,510,12580.0,2102.0,N,L,5,1,82000,0,0,0,0,0,0
5009,2017,4,6,24,510,12580.0,2501.02,N,L,5,0,0,0,0,0,0,0,0
5010,2017,4,6,24,510,12580.0,2502.03,N,L,5,0,0,0,0,0,0,0,0
5011,2017,4,6,24,510,12580.0,2503.01,N,L,5,1,48000,0,0,0,0,0,0
5012,2017,4,6,24,510,12580.0,2504.01,N,L,5,1,39000,0,0,0,0,0,0
5013,2017,4,6,24,510,12580.0,2505.0,N,L,5,5,173000,0,0,0,0,0,0
