rownumber,activity_year,loan_type,action_taken_type,state,county,msa,respondentID,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest
6819,2016,4,1,24.0,510.0,12580.0,23627,3,,8,36000,0,0
6820,2016,4,1,24.0,510.0,12580.0,506922,2,,41,11146000,14,3735000
6821,2016,4,1,24.0,510.0,12580.0,57053,3,,2,1128000,0,0
6822,2016,4,1,24.0,510.0,12580.0,802866,2,,15,4305000,9,2505000
6823,2016,4,1,24.0,510.0,12580.0,57870,3,,1,125000,0,0
6824,2016,4,1,24.0,510.0,12580.0,714640,1,,2,26000,1,25000
6825,2016,4,1,24.0,510.0,12580.0,15576,1,,6,1074000,2,778000
6826,2016,4,1,24.0,510.0,12580.0,675332,2,,160,10016000,94,3723000
6827,2016,4,1,24.0,510.0,12580.0,715044,1,,281,969000,0,0
6828,2016,4,1,24.0,510.0,12580.0,23253,1,,3,188000,1,98000
6829,2016,4,1,24.0,510.0,12580.0,24096,1,,11,265000,3,155000
6830,2016,4,1,24.0,510.0,12580.0,23248,1,,46,612000,0,0
6831,2016,4,1,24.0,510.0,12580.0,35444,3,,1,865000,1,865000
6832,2016,4,1,24.0,510.0,12580.0,16820,3,,2,1200000,0,0
6833,2016,4,1,24.0,510.0,12580.0,27244,3,,28,6662000,10,2781000
6834,2016,4,1,24.0,510.0,12580.0,58457,3,,1,350000,0,0
6835,2016,4,1,24.0,510.0,12580.0,90290,3,,2,625000,0,0
6836,2016,4,1,24.0,510.0,12580.0,693224,2,,1,500000,1,500000
6837,2016,4,1,24.0,510.0,12580.0,1010930,2,,3,1305000,2,1055000
6838,2016,4,1,24.0,510.0,12580.0,365325,2,,1,364000,1,364000
6839,2016,4,1,24.0,510.0,12580.0,24,1,,316,3019000,226,1902000
6840,2016,4,1,24.0,510.0,12580.0,57696,3,,3,1219000,1,169000
6841,2016,4,1,24.0,510.0,12580.0,1,1,,606,24247000,434,11726000
6842,2016,4,1,24.0,510.0,12580.0,34697,3,,69,669000,0,0
6843,2016,4,1,24.0,510.0,12580.0,16892,1,,1,3000,1,3000
6844,2016,4,1,24.0,510.0,12580.0,24920,3,,1,200000,0,0
6845,2016,4,1,24.0,510.0,12580.0,707938,1,,7,1662000,6,1310000
6846,2016,4,1,24.0,510.0,12580.0,1161029,2,,4,972000,2,547000
2476,2016,4,6,24.0,510.0,12580.0,3284070,2,,109,3791000,0,0
2477,2016,4,6,24.0,510.0,12580.0,20504,3,,25,358000,0,0
2478,2016,4,6,24.0,510.0,12580.0,3514,3,,1,231000,0,0
2479,2016,4,6,24.0,510.0,12580.0,28489,3,,1,1000000,0,0
2480,2016,4,6,24.0,510.0,12580.0,24466,1,,1,363000,0,0
2481,2016,4,6,24.0,510.0,12580.0,1461,1,,321,5125000,80,1232000
2482,2016,4,6,24.0,510.0,12580.0,2119773,2,,2,5000,0,0
2483,2016,4,6,24.0,510.0,12580.0,1917301,2,,20,88000,0,0
2484,2016,4,6,24.0,510.0,12580.0,2339795,2,,1,2000,0,0
2485,2016,4,6,24.0,510.0,12580.0,2938198,2,,2,512000,0,0
2486,2016,4,6,24.0,510.0,12580.0,24646,1,,3,14000,0,0
2487,2016,4,6,24.0,510.0,12580.0,480808,2,,1,36000,1,36000
2488,2016,4,6,24.0,510.0,12580.0,57053,3,,2,253000,0,0
2489,2016,4,6,24.0,510.0,12580.0,428547,2,,3,5000,0,0
2490,2016,4,6,24.0,510.0,12580.0,15576,1,,2,127000,0,0
2491,2016,4,6,24.0,510.0,12580.0,3076248,2,,3,1258000,0,0
2492,2016,4,6,24.0,510.0,12580.0,23253,1,,6,727000,0,0
2493,2016,4,6,24.0,510.0,12580.0,23248,1,,17,74000,0,0
2494,2016,4,6,24.0,510.0,12580.0,2693264,2,,2,42000,0,0
2495,2016,4,6,24.0,510.0,12580.0,24,1,,1,5000,0,0
2496,2016,4,6,24.0,510.0,12580.0,1,1,,6,250000,0,0
2497,2016,4,6,24.0,510.0,12580.0,2044811,2,,1,2000,0,0
2498,2016,4,6,24.0,510.0,12580.0,2239288,2,,2,3000,0,0
1295,2016,5,1,24.0,510.0,12580.0,13044,1,,2,20000,2,20000
1296,2016,5,1,24.0,510.0,12580.0,663245,2,,1,50000,0,0
1297,2016,5,1,24.0,510.0,12580.0,24,1,,1,5000,1,5000
20582,2015,4,1,24.0,510.0,12580.0,31286,3,,39,14004000,28,9779000
20583,2015,4,1,24.0,510.0,12580.0,991340,2,,1,92000,0,0
20584,2015,4,1,24.0,510.0,12580.0,27471,3,,3,75000,0,0
20585,2015,4,1,24.0,510.0,12580.0,715648,1,,1929,19737000,1210,8424000
20586,2015,4,1,24.0,510.0,12580.0,25080,1,,1,84000,0,0
20587,2015,4,1,24.0,510.0,12580.0,13044,1,,917,21701000,546,6287000
20588,2015,4,1,24.0,510.0,12580.0,3514,3,,6,455000,0,0
20589,2015,4,1,24.0,510.0,12580.0,718140,1,,22,3304000,11,2141000
20590,2015,4,1,24.0,510.0,12580.0,26610,3,,3,987000,3,987000
20591,2015,4,1,24.0,510.0,12580.0,716456,1,,9,122000,9,122000
20592,2015,4,1,24.0,510.0,12580.0,9846,3,,154,13432000,109,2702000
20593,2015,4,1,24.0,510.0,12580.0,11578,3,,1,496000,1,496000
20594,2015,4,1,24.0,510.0,12580.0,57904,3,,1,496000,0,0
20595,2015,4,1,24.0,510.0,12580.0,5874,3,,1,800000,1,800000
20596,2015,4,1,24.0,510.0,12580.0,24828,1,,1068,7210000,546,3639000
20597,2015,4,1,24.0,510.0,12580.0,13688,1,,16,1778000,10,512000
20598,2015,4,1,24.0,510.0,12580.0,23160,1,,690,8126000,0,0
20599,2015,4,1,24.0,510.0,12580.0,25079,1,,9,392000,0,0
20600,2015,4,1,24.0,510.0,12580.0,1461,1,,441,2072000,312,1480000
20601,2015,4,1,24.0,510.0,12580.0,24571,1,,15,1091000,13,541000
20602,2015,4,1,24.0,510.0,12580.0,57570,3,,10,141000,0,0
20603,2015,4,1,24.0,510.0,12580.0,60143,2,,6,435000,0,0
20604,2015,4,1,24.0,510.0,12580.0,5649,3,,7,19000,2,4000
20605,2015,4,1,24.0,510.0,12580.0,2652092,2,,3,685000,1,608000
20606,2015,4,1,24.0,510.0,12580.0,715115,1,,3,4000,3,4000
20607,2015,4,1,24.0,510.0,12580.0,11063,3,,6,1239000,2,611000
20608,2015,4,1,24.0,510.0,12580.0,209,1,,6,61000,0,0
20609,2015,4,1,24.0,510.0,12580.0,249,1,,32,8293000,17,3974000
20610,2015,4,1,24.0,510.0,12580.0,33778,3,,15,1505000,0,0
20611,2015,4,1,24.0,510.0,12580.0,57776,3,,21,8365000,10,2473000
20612,2015,4,1,24.0,510.0,12580.0,715685,1,,2,9000,0,0
20613,2015,4,1,24.0,510.0,12580.0,8,1,,30,1628000,0,0
20614,2015,4,1,24.0,510.0,12580.0,501105,2,,171,42369000,71,9945000
20615,2015,4,1,24.0,510.0,12580.0,705902,1,,40,295000,0,0
20616,2015,4,1,24.0,510.0,12580.0,9889,3,,1,47000,1,47000
20617,2015,4,1,24.0,510.0,12580.0,28178,3,,2,209000,2,209000
20618,2015,4,1,24.0,510.0,12580.0,57408,3,,1,362000,0,0
20619,2015,4,1,24.0,510.0,12580.0,34888,3,,1,380000,1,380000
20620,2015,4,1,24.0,510.0,12580.0,35583,3,,6,111000,5,83000
20621,2015,4,1,24.0,510.0,12580.0,1316,1,,559,41005000,317,10383000
20622,2015,4,1,24.0,510.0,12580.0,7714,3,,1,71000,0,0
20623,2015,4,1,24.0,510.0,12580.0,23627,3,,9,42000,9,42000
20624,2015,4,1,24.0,510.0,12580.0,506922,2,,44,13384000,16,4204000
20625,2015,4,1,24.0,510.0,12580.0,25022,1,,4,241000,0,0
20626,2015,4,1,24.0,510.0,12580.0,57053,3,,2,1309000,0,0
20627,2015,4,1,24.0,510.0,12580.0,802866,2,,7,1858000,4,1155000
20628,2015,4,1,24.0,510.0,12580.0,6680,1,,3,103000,0,0
20629,2015,4,1,24.0,510.0,12580.0,15576,1,,14,781000,1,97000
20630,2015,4,1,24.0,510.0,12580.0,675332,2,,168,13390000,84,3175000
20631,2015,4,1,24.0,510.0,12580.0,682611,2,,29,8284000,4,1531000
20632,2015,4,1,24.0,510.0,12580.0,715044,1,,310,1163000,0,0
20633,2015,4,1,24.0,510.0,12580.0,23253,1,,8,382000,0,0
20634,2015,4,1,24.0,510.0,12580.0,24096,1,,8,319000,6,244000
