census_tract,activity_year,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansTotal,amtLoansTotal
203,2015,12,177,"$2,320,000 ",3,"$550,000 ",9,"$4,897,000 ",103,"$2,707,000 ",189,"$7,767,000 "
301,2015,3,48,"$361,000 ",2,"$271,000 ",1,"$950,000 ",27,"$1,166,000 ",51,"$1,582,000 "
302,2015,6,104,"$1,377,000 ",4,"$651,000 ",10,"$5,131,000 ",44,"$2,216,000 ",118,"$7,159,000 "
401,2015,9,437,"$6,528,000 ",23,"$4,041,000 ",30,"$15,479,000 ",241,"$5,018,000 ",490,"$26,048,000 "
402,2015,5,44,"$558,000 ",0,$0 ,2,"$680,000 ",17,"$175,000 ",46,"$1,238,000 "
601,2015,6,13,"$43,000 ",0,$0 ,0,$0 ,8,"$31,000 ",13,"$43,000 "
602,2015,5,32,"$284,000 ",0,$0 ,2,"$1,042,000 ",13,"$190,000 ",34,"$1,326,000 "
603,2015,7,20,"$100,000 ",0,$0 ,0,$0 ,12,"$57,000 ",20,"$100,000 "
604,2015,8,12,"$97,000 ",0,$0 ,0,$0 ,7,"$68,000 ",12,"$97,000 "
701,2015,5,6,"$36,000 ",0,$0 ,0,$0 ,2,"$11,000 ",6,"$36,000 "
702,2015,5,19,"$74,000 ",1,"$173,000 ",0,$0 ,9,"$223,000 ",20,"$247,000 "
703,2015,3,30,"$201,000 ",0,$0 ,0,$0 ,20,"$125,000 ",30,"$201,000 "
704,2015,3,15,"$153,000 ",0,$0 ,0,$0 ,8,"$99,000 ",15,"$153,000 "
801.01,2015,8,27,"$207,000 ",0,$0 ,1,"$300,000 ",13,"$130,000 ",28,"$507,000 "
801.02,2015,4,11,"$21,000 ",0,$0 ,0,$0 ,4,"$14,000 ",11,"$21,000 "
802,2015,5,14,"$171,000 ",1,"$159,000 ",0,$0 ,6,"$268,000 ",15,"$330,000 "
803.01,2015,5,1,"$20,000 ",0,$0 ,0,$0 ,1,"$20,000 ",1,"$20,000 "
803.02,2015,4,7,"$55,000 ",0,$0 ,1,"$897,000 ",6,"$923,000 ",8,"$952,000 "
805,2015,5,10,"$45,000 ",1,"$231,000 ",0,$0 ,9,"$268,000 ",11,"$276,000 "
806,2015,5,7,"$8,000 ",0,$0 ,0,$0 ,4,"$4,000 ",7,"$8,000 "
807,2015,4,7,"$24,000 ",0,$0 ,0,$0 ,5,"$23,000 ",7,"$24,000 "
808,2015,3,11,"$180,000 ",0,$0 ,0,$0 ,6,"$84,000 ",11,"$180,000 "
901,2015,6,19,"$131,000 ",0,$0 ,1,"$300,000 ",19,"$430,000 ",20,"$431,000 "
902,2015,9,26,"$271,000 ",0,$0 ,0,$0 ,19,"$240,000 ",26,"$271,000 "
903,2015,9,17,"$259,000 ",0,$0 ,0,$0 ,10,"$161,000 ",17,"$259,000 "
904,2015,3,24,"$549,000 ",2,"$420,000 ",3,"$1,708,000 ",11,"$406,000 ",29,"$2,677,000 "
905,2015,5,27,"$240,000 ",0,$0 ,1,"$253,000 ",14,"$328,000 ",28,"$493,000 "
906,2015,6,6,"$43,000 ",0,$0 ,0,$0 ,5,"$40,000 ",6,"$43,000 "
907,2015,4,17,"$186,000 ",0,$0 ,0,$0 ,9,"$137,000 ",17,"$186,000 "
